Time - Plot 0,Amplitude - Plot 0
794215,-0.0756641
794216,-0.0794837
794217,-0.0794837
794218,-0.0794837
794219,-0.0782105
794220,-0.0769373
794221,-0.0756641
794222,-0.0680251
794223,-0.0642056
794224,-0.0565666
794225,-0.0476544
794226,-0.037469
794227,-0.0247373
794228,-0.0132788
794229,-0.000547095
794230,0.0160041
794231,0.0261895
794232,0.0427407
794233,0.0529261
794234,0.0643846
794235,0.0732968
794236,0.082209
794237,0.0873017
794238,0.0936675
794239,0.0911212
794240,0.0923943
794241,0.0860285
794242,0.0796626
794243,0.0758431
794244,0.0656578
794245,0.0567456
794246,0.0465602
794247,0.0363748
794248,0.0261895
794249,0.0160041
794250,0.00199925
794251,-0.00436661
794252,-0.0170983
794253,-0.0272837
794254,-0.0349227
794255,-0.0412885
794256,-0.0476544
794257,-0.0514739
794258,-0.0565666
794259,-0.0591129
794260,-0.0629324
794261,-0.0616593
794262,-0.0642056
794263,-0.0629324
794264,-0.0603861
794265,-0.0540203
794266,-0.0527471
794267,-0.0476544
794268,-0.0400154
794269,-0.0349227
794270,-0.0260105
794271,-0.0209178
794272,-0.0107325
794273,-0.00309344
794274,0.00454559
794275,0.0109114
794276,0.0172773
794277,0.0236431
794278,0.0312822
794279,0.0312822
794280,0.0363748
794281,0.037648
794282,0.0401944
794283,0.0414675
794284,0.0401944
794285,0.0389212
794286,0.0363748
794287,0.030009
794288,0.030009
794289,0.0236431
794290,0.0210968
794291,0.0134578
794292,0.00963827
794293,0.00581876
794294,-0.000547095
794295,-0.00182027
794296,-0.00563978
794297,-0.00818612
794298,-0.0132788
794299,-0.0107325
794300,-0.014552
794301,-0.0120056
794302,-0.0158251
794303,-0.0132788
794304,-0.0120056
794305,-0.0107325
794306,-0.00436661
794307,-0.00691295
794308,0.000726075
794309,-0.00182027
794310,0.00327242
794311,0.00199925
794312,0.00581876
794313,0.00709193
794314,0.0083651
794315,0.0083651
794316,0.0083651
794317,0.0083651
794318,0.00709193
794319,0.00327242
794320,0.00581876
794321,0.000726075
794322,0.00199925
794323,0.000726075
794324,-0.00182027
794325,-0.00436661
794326,-0.00563978
794327,-0.00818612
794328,-0.0120056
794329,-0.0107325
794330,-0.0158251
794331,-0.0158251
794332,-0.0196447
794333,-0.0183715
794334,-0.0170983
794335,-0.014552
794336,-0.0170983
794337,-0.0132788
794338,-0.0120056
794339,-0.00945929
794340,-0.00436661
794341,-0.000547095
794342,0.00581876
794343,0.0083651
794344,0.0160041
794345,0.0185505
794346,0.0261895
794347,0.0287358
794348,0.0325553
794349,0.0338285
794350,0.0351017
794351,0.0389212
794352,0.0363748
794353,0.0389212
794354,0.0338285
794355,0.0338285
794356,0.0287358
794357,0.0287358
794358,0.0236431
794359,0.0210968
794360,0.0160041
794361,0.0134578
794362,0.0083651
794363,0.00199925
794364,0.000726075
794365,-0.00563978
794366,-0.00691295
794367,-0.0132788
794368,-0.0170983
794369,-0.0183715
794370,-0.0209178
794371,-0.0234642
794372,-0.0247373
794373,-0.0260105
794374,-0.02983
794375,-0.0272837
794376,-0.02983
794377,-0.0285568
794378,-0.0260105
794379,-0.0247373
794380,-0.022191
794381,-0.0196447
794382,-0.0132788
794383,-0.0132788
794384,-0.00691295
794385,-0.00436661
794386,0.000726075
794387,0.00199925
794388,0.00963827
794389,0.0134578
794390,0.0172773
794391,0.0198236
794392,0.0210968
794393,0.0236431
794394,0.0236431
794395,0.0249163
794396,0.0274627
794397,0.0236431
794398,0.0261895
794399,0.0236431
794400,0.0210968
794401,0.0185505
794402,0.0160041
794403,0.0134578
794404,0.0109114
794405,0.00581876
794406,-0.000547095
794407,-0.000547095
794408,-0.00563978
794409,-0.00691295
794410,-0.0120056
794411,-0.0132788
794412,-0.0158251
794413,-0.0158251
794414,-0.0209178
794415,-0.0170983
794416,-0.0170983
794417,-0.0158251
794418,-0.0170983
794419,-0.0120056
794420,-0.0120056
794421,-0.0120056
794422,-0.00691295
794423,-0.00563978
794424,0.000726075
794425,-0.000547095
794426,0.00327242
794427,0.00709193
794428,0.0121846
794429,0.0109114
794430,0.0160041
794431,0.0185505
794432,0.0198236
794433,0.02237
794434,0.0210968
794435,0.02237
794436,0.0210968
794437,0.0198236
794438,0.02237
794439,0.0172773
794440,0.0172773
