Time - Plot 0	Amplitude - Plot 0
735261	-0.000547095
735262	-0.00436661
735263	-0.00182027
735264	-0.00436661
735265	-0.00436661
735266	-0.00309344
735267	-0.00436661
735268	-0.00309344
735269	-0.00436661
735270	-0.00309344
735271	-0.00309344
735272	-0.00182027
735273	-0.00309344
735274	-0.00182027
735275	-0.000547095
735276	-0.000547095
735277	-0.000547095
735278	-0.00182027
735279	-0.000547095
735280	0.00199925
735281	-0.000547095
735282	0.00199925
735283	-0.00182027
735284	0.00199925
735285	0.00199925
735286	0.00199925
735287	0.00327242
735288	0.00199925
735289	0.00199925
735290	-0.00182027
735291	0.00199925
735292	-0.000547095
735293	0.00327242
735294	-0.000547095
735295	0.00199925
735296	-0.000547095
735297	-0.000547095
735298	-0.000547095
735299	-0.000547095
735300	-0.000547095
735301	-0.000547095
735302	-0.00563978
735303	-0.00182027
735304	-0.00309344
735305	-0.00436661
735306	-0.00436661
735307	-0.00436661
735308	-0.00182027
735309	-0.00436661
735310	-0.00436661
735311	-0.00436661
735312	-0.00436661
735313	-0.00309344
735314	-0.00182027
735315	-0.00436661
735316	-0.00182027
735317	-0.00182027
735318	-0.000547095
735319	-0.00182027
735320	-0.00182027
735321	-0.00182027
735322	-0.00182027
735323	-0.000547095
735324	0.000726075
735325	-0.000547095
735326	0.00327242
735327	0.00199925
735328	0.000726075
735329	0.000726075
735330	0.00199925
735331	0.000726075
735332	0.00327242
735333	0.000726075
735334	0.0083651
735335	0.0172773
735336	0.0249163
735337	0.0516529
735338	0.0834822
735339	0.121677
735340	0.166238
735341	0.22735
735342	0.298648
735343	0.367399
735344	0.429784
735345	0.493443
735346	0.536731
735347	0.563467
735348	0.559648
735349	0.541823
735350	0.508721
735351	0.452702
735352	0.382677
735353	0.312653
735354	0.241355
735355	0.159872
735356	0.0923943
735357	0.0312822
735358	-0.0170983
735359	-0.0692983
735360	-0.104947
735361	-0.129137
735362	-0.143142
735363	-0.159693
735364	-0.164786
735365	-0.159693
735366	-0.154601
735367	-0.16224
735368	-0.160967
735369	-0.15842
735370	-0.154601
735371	-0.159693
735372	-0.163513
735373	-0.157147
735374	-0.154601
735375	-0.159693
735376	-0.160967
735377	-0.159693
735378	-0.149508
735379	-0.135503
735380	-0.118952
735381	-0.0871227
735382	-0.0540203
735383	-0.0158251
735384	0.0210968
735385	0.0618383
735386	0.101307
735387	0.130589
735388	0.159872
735389	0.181516
735390	0.198067
735391	0.196794
735392	0.191702
735393	0.181516
735394	0.166238
735395	0.143321
735396	0.112765
735397	0.0873017
735398	0.0580187
735399	0.0287358
735400	-0.00436661
735401	-0.0247373
735402	-0.0463812
735403	-0.0692983
735404	-0.0858495
735405	-0.0960349
735406	-0.103674
735407	-0.108767
735408	-0.115132
735409	-0.10622
735410	-0.103674
735411	-0.0922154
735412	-0.0794837
735413	-0.0591129
735414	-0.0361959
735415	-0.014552
735416	0.0109114
735417	0.0363748
735418	0.0643846
735419	0.0796626
735420	0.097487
735421	0.108946
735422	0.115311
735423	0.112765
735424	0.107672
735425	0.0962139
735426	0.0885748
735427	0.0732968
735428	0.0516529
735429	0.0401944
735430	0.0210968
735431	0.000726075
735432	-0.014552
735433	-0.0272837
735434	-0.037469
735435	-0.0502007
735436	-0.0578398
735437	-0.066752
735438	-0.0718446
735439	-0.0807568
735440	-0.0807568
735441	-0.0833032
735442	-0.0833032
735443	-0.0833032
735444	-0.0845763
735445	-0.0794837
735446	-0.074391
735447	-0.0705715
735448	-0.0591129
735449	-0.0489276
735450	-0.0311032
735451	-0.0209178
735452	-0.00182027
735453	0.0210968
735454	0.0414675
735455	0.0605651
735456	0.0796626
735457	0.097487
735458	0.114038
735459	0.12295
735460	0.128043
735461	0.136955
735462	0.134409
735463	0.128043
735464	0.120404
735465	0.108946
735466	0.0936675
735467	0.0783895
735468	0.0592919
735469	0.0440139
735470	0.0236431
735471	0.00709193
735472	-0.0132788
735473	-0.0285568
735474	-0.0425617
735475	-0.0552934
735476	-0.0680251
735477	-0.0769373
735478	-0.0807568
735479	-0.0909422
735480	-0.0922154
735481	-0.097308
735482	-0.0934885
735483	-0.0960349
735484	-0.0947617
735485	-0.0871227
735486	-0.0807568
735487	-0.0731178
735488	-0.0616593
735489	-0.0502007
735490	-0.0336495
735491	-0.0170983
735492	-0.000547095
735493	0.0185505
735494	0.0363748
735495	0.0491066
735496	0.0643846
735497	0.07457
735498	0.0860285
735499	0.0873017
735500	0.0885748
735501	0.089848
735502	0.0860285
735503	0.07457
735504	0.0707504
735505	0.0592919
735506	0.0516529
735507	0.0363748
735508	0.0274627
735509	0.0147309
735510	0.00327242
735511	-0.00945929
735512	-0.0170983
735513	-0.0247373
735514	-0.0311032
735515	-0.0361959
735516	-0.0425617
735517	-0.0400154
735518	-0.0451081
735519	-0.0425617
735520	-0.0451081
735521	-0.0387422
735522	-0.0361959
735523	-0.0349227
735524	-0.0285568
735525	-0.022191
735526	-0.0170983
735527	-0.0120056
735528	-0.00309344
735529	0.000726075
735530	0.00709193
735531	0.0134578
735532	0.0160041
735533	0.02237
735534	0.0236431
735535	0.0210968
735536	0.0249163
735537	0.0249163
735538	0.02237
735539	0.0160041
735540	0.0172773
735541	0.0121846
735542	0.00709193
735543	0.00199925
735544	-0.00182027
735545	-0.00818612
735546	-0.00818612
735547	-0.0170983
735548	-0.0196447
735549	-0.0234642
735550	-0.0247373
735551	-0.0260105
735552	-0.02983
735553	-0.0272837
735554	-0.0272837
735555	-0.0285568
735556	-0.0260105
735557	-0.022191
735558	-0.0158251
735559	-0.0170983
735560	-0.00691295
735561	-0.00182027
735562	0.00581876
735563	0.0083651
735564	0.0109114
